code,actor_name,country,doctrine_code,doctrine_label,positions_5_faces,cadence_score,autonomy_score,fundingScale,last_raise,round_info,headcount,deployment_signal,key_partnerships,note,source_tier,source_text,last_updated,methodology_link
TEN-TM,"Tencore",UA,A,Mass Attritable,F1:(3,3)P|F2:(1,2)S|F4:(3,2)S,4,4,2,"$3.74M","MITS Capital · Jul 2025","215","2,000+ TerMIT units · 4 EU JVs in 2026","INSTA Group (jv) · Quantum Systems (jv) · Shark Robotics (jv) · DevDroid (partnership)","Hub UA-EU absolu. JVs FERNRIDE, INSTA, QTI Quantum, Shark.",A,"Tier A · Defense Blog, Euromaidan Press, Oboronka",2026-04-29,https://tables01.starburst.aero#methodology
DEV-TW,"DevDroid",UA,A,Mass Attritable,F1:(2,1)P|F2:(1,3)P,3,4,1,"[tc]","[tc]","[tc]","Hundreds of TW 12.7 strike UGVs UA","Tencore (partnership)","45-day frontline holding documented. Mass-attritable combat.",B,"Tier B · Calibre Defense",2026-04-29,https://tables01.starburst.aero#methodology
TEM-UG,"Temerland",UA,A,Mass Attritable,F2:(1,3)P|F3:(1,1)P,2,4,1,"[tc]","[tc]","[tc]","GNOM/Targan demining + CASEVAC UA frontline","n/a","Mine clearance + casevac specialist.",C,"Tier C · TechUkraine",2026-04-29,https://tables01.starburst.aero#methodology
ROB-IC,"Roboneers",UA,A,Mass Attritable,F1:(2,1)S|F2:(1,3)P|F4:(1,1)S,3,4,1,"[tc]","[tc]","[tc]","Ironclad UGV mass UA frontline","n/a","Combat-iterating UA pure-play.",B,"Tier B · Forbes UA",2026-04-29,https://tables01.starburst.aero#methodology
UKP-RO,"UkrPrototype",UA,A,Mass Attritable,F1:(2,1)P|F2:(1,3)P,3,4,1,"[tc]","[tc]","[tc]","Multiple UGV variants UA frontline","n/a","Diverse combat platforms iterated.",B,"Tier B · MoD Ukraine",2026-04-29,https://tables01.starburst.aero#methodology
RAT-RS,"Ratel Robotics",UA,A,Mass Attritable,F1:(2,1)P|F2:(1,3)P|F3:(1,1)S,3,4,1,"[tc]","[tc]","[tc]","Ratel S/L combat + logistics 6km UA","n/a","Anti-tank kamikaze + logistics dual capability.",B,"Tier B · Forbes, Reuters",2026-04-29,https://tables01.starburst.aero#methodology
ABR-UN,"ABRIS Design Group",UA,A,Mass Attritable,F1:(2,1)P|F2:(3,3)S|F3:(2,2)S|F4:(2,2)S,3,4,2,"$250K + xTech","US Army xTech win Mar 2026 · 10-yr G-TEAD","[tc]","UNEX UGV codified UA · US Army xTech 2026","n/a","Multi-country production UA-PL-CZ. Mountain Horse Solutions partnership US.",A,"Tier A · EDR Magazine, MoD Ukraine",2026-04-29,https://tables01.starburst.aero#methodology
ARX-GE,"ARX Robotics",DE,B,Modular Hybrid,F1:(2,2)S|F2:(2,3)S|F3:(2,1)S|F4:(2,2)P,3,3,3,"€42M cumul","Series A · 2025","~150 [tc]","6 EU armies · Combat Gereon UA · scaling 1→85/day Deutz","Quantum Systems (partnership)","JV Frontline UA + Helsing partnership Sep 2025. Hector medium-class unveiled Dec 2025.",A,"Tier A · Defense Post, Janes",2026-04-29,https://tables01.starburst.aero#methodology
RHM-MM,"Rheinmetall",DE,C,Premium AI Stack,F1:(3,2)P|F2:(3,3)P|F3:(3,3)S,3,3,5,"Listed Frankfurt","Public co. (RHM.DE)","~33,000","Mission Master SP/CXT2 · DOK-ING acquired Mar 2026 (51%)","DOK-ING (cross-face)","Hub EU consolidator. 3 markets at top (3,3) post-DOK-ING acquisition. LRMV JV with Leonardo (combat vehicles, non-UGV).",A,"Tier A · Reuters, corporate",2026-04-29,https://tables01.starburst.aero#methodology
QSY-MA,"Quantum Systems",DE,C,Premium AI Stack,F1:(2,2)P|F4:(2,2)S,3,3,5,"$618M cumul","Series C ext · Nov 2025 · €3+Bn post","~1,000","Mandrill UGV + Trinity/Vector UAS · 6+ EU armies · 3 JVs (QFI, QTI, QWI)","Tencore (jv) · ARX Robotics (partnership)","Triple unicorn. Build with Ukraine: QFI Frontline + QTI Tencore + QWI WIY.",A,"Tier A · EDR Magazine, ESUT, Munich Startup",2026-04-29,https://tables01.starburst.aero#methodology
KND-OP,"KNDS",DE,E,Logistics Specialist,F1:(3,2)P|F2:(3,2)P|F4:(1,2)S,2,2,5,"JV state-backed","KMW + Nexter merger 2015","~10,000","Optio-X20 / Ultro 600 · Italian Army RAS","n/a","KMW × Milrem THeMIS partnership + 24.9% stake Milrem (2023).",A,"Tier A · KNDS corporate, Janes",2026-04-29,https://tables01.starburst.aero#methodology
TFL-CT,"Teledyne FLIR",USA,E,Logistics Specialist,F3:(3,3)P|F4:(2,2)P,2,3,5,"Listed NYSE","Public co. (TDY)","~13,000","Centaur UGV · iRobot PackBot heritage 1999 · US Army EOD","n/a","Heritage marché historique EOD/CBRN. Sensor stack premium thermal/IR.",A,"Tier A · Teledyne FLIR corporate",2026-04-29,https://tables01.starburst.aero#methodology
GHO-V6,"Ghost Robotics",USA,B,Modular Hybrid,F2:(2,2)S|F4:(2,2)P,2,2,3,"$50M+ cumul","Series B · 2024","~150","Vision 60 quadruped · NATO patrol · Tyndall AFB","n/a","Quadruped niche perimeter/EOD/urban only.",B,"Tier B · Defense News",2026-04-29,https://tables01.starburst.aero#methodology
SWB-SW,"Swarmbotics",USA,C,Premium AI Stack,F2:(3,2)P|F4:(3,2)S,2,2,2,"$15M [tc]","Series A · 2024","~60 [tc]","Swarm UGVs · US Army trials","n/a","Swarm autonomy unique — orthogonal to single-platform autonomy.",B,"Tier B · Defense Innovation Unit",2026-04-29,https://tables01.starburst.aero#methodology
OVL-BR,"Overland AI",USA,C,Premium AI Stack,F1:(3,3)S|F4:(3,3)P,2,2,4,"$132M cumul","Series B $100M · Dec 2024","~150 [tc]","Brumby + ISV autonomy kit · US Army trials","n/a","Outlier (3,3) on F1 Logistique + F4 ISR. Most mature autonomy stack of dataset.",A,"Tier A · Crunchbase, TechCrunch",2026-04-29,https://tables01.starburst.aero#methodology
GD-MT,"General Dynamics",USA,E,Logistics Specialist,F1:(3,1)P|F2:(3,2)S|F3:(2,2)P|F4:(1,1)P,2,2,5,"Listed NYSE","Public co. (GD)","~111,000","MUTT (Multi-Utility Tactical Transport) · USMC","n/a","Heritage Prime. Combat-tested but not UA mass-deployed.",A,"Tier A · GD corporate",2026-04-29,https://tables01.starburst.aero#methodology
